"","Mean of log A","Mean of log B","Mean of log C","Mean of log D","Sds","qvalue BvsA","qvalue CvsA","qvalue DvsA"
"P14408",-0.0412168001702244,0.103533406542873,0.0291723355168205,0.22653532791195,0.172516490549391,0.43800132870855,0.977167816460095,0.159799459773045
"P14480",0.0708244360212675,-0.267367608352348,0.972128552107097,-0.278779902762028,0.445433875732444,0.4537852697838,0.842425843791675,0.349591651667807
"P14604",-0.203995961956315,0.0770241614566922,-0.000496054845815679,0.169561258555445,0.17985131594773,0.286077056763064,0.968338925911827,0.091704932701426
"P14668",0.00377552092379767,0.0881090308406821,0.0490993368135781,0.128911194699243,0.201074596486083,0.544127860712454,0.97907999674198,0.40008153816201
"P14669",0.145717246005706,0.152068495332342,0.0344377826287467,0.00762187711146161,0.212224249400924,0.638824011497466,0.975230280804772,0.394149583315423
"P14882",0.153803084889014,0.000609603683157391,0.117581101453178,0.061025553208566,0.187199075980101,0.43913100398949,0.980134370544289,0.458598058476372
"P14942",0.0686218812880996,-0.22308631674089,0.145313153941945,0.0652137600119079,0.164786898587808,0.22361241769544,0.977167816460095,0.611796147916137
"P15429",0.27723157275634,-0.227704685418878,0.260944123093672,-0.274218286901399,0.226630712346056,0.127558601970768,0.997515780258928,0.0739385628578512
"P15650",-0.129653337360056,0.183109609834567,-0.117389104111856,0.514361686547646,0.309329126715063,0.407072054861159,0.997515780258928,0.091704932701426
"P15651",-0.126818800447864,-0.0914808013598537,0.0118041281937655,0.164083262157567,0.193164984038119,0.603797425254227,0.968338925911827,0.166807927606172
"P15800",-0.177561027860023,0.148738747712995,-0.210108527936658,0.183756891828518,0.242033524051439,0.331761455946434,0.991288661241918,0.168795201852884
"P15865",0.0584631071533201,-0.200519690893968,-0.0595042029043063,0.0366866006306659,0.200127480403774,0.340834682335586,0.972942670624133,0.58685104307834
"P15999",-0.284009436410651,0.0189979234202817,-0.305369161002547,0.431156505591381,0.306229924612141,0.412335746873138,0.997515780258928,0.0753230075868248
"P16036",0.140056408868683,0.25458053868939,-0.200945045222845,0.142370913108836,0.189487292012958,0.493633176403967,0.842425843791675,0.612430500912734
"P16086",0.120691278727492,0.162952046741529,0.0043645963735936,-0.0643586526885724,0.163308214045105,0.594648495484618,0.968338925911827,0.250925227235354
"P16290",0.113093424386063,0.0353900753167018,-0.225263880315919,0.291417743112408,0.266535468943692,0.58654143448667,0.968338925911827,0.390715969698167
"P16303",0.432131425363026,-0.28692652952298,0.387881126536269,-0.586232756131293,0.341498463414372,0.273529248393806,0.997515780258928,0.0797532300104246
"P16409",-0.0678171670888743,0.0332040320401241,0.104452975854735,0.345233842007228,0.197586313147616,0.520238033923491,0.968338925911827,0.091704932701426
"P16617",0.117373918089261,-0.0196847776088709,-0.0720416916383038,-0.0296111150417086,0.151999055079924,0.419371199691329,0.968338925911827,0.297040687654552
"P17074",-0.0477332948440103,0.100627220907379,0.036633611466003,-0.0467360340394699,0.153176811403933,0.412717579817069,0.975230280804772,0.614097051114549
"P17475",-0.0319841170926873,-0.291197551300666,0.455791287664058,-0.0256526089779825,0.32581368994187,0.442373734730627,0.898674516892433,0.611796147916137
"P17702",-0.0398769916099723,-0.016064533940489,-0.00640469667281339,0.0130519535860498,0.13181268438529,0.603797425254227,0.97907999674198,0.492519434612227
"P17764",0.0916569621717584,0.136670662191782,0.0322409606788496,0.132242308350692,0.211723022609402,0.602766008849496,0.97907999674198,0.561400697054695
"P18163",-0.315173257156917,0.284548472481365,-0.244857585997375,0.368674512344916,0.190286002460487,0.043133991257971,0.97907999674198,0.0222848770547006
"P18266",-0.719305426791133,0.303072613125903,0.0835948065514056,0.303042328971529,0.337269359976291,0.127370962515421,0.842425843791675,0.0775841283348681
"P18292",0.010788248597992,0.139680596678921,0.100681015973054,-0.438127034606603,0.291772559723367,0.569052208791085,0.97907999674198,0.23173861331469
"P18418",0.0758345686044068,0.0343789836567819,0.152212729056841,-0.169053541791608,0.177735003879348,0.602389740751263,0.977167816460095,0.197443533008567
"P18420",-0.0600950569380459,-0.0144672451670467,0.0171437342691703,-0.0889696801668765,0.128996334718586,0.569052208791085,0.969207681297504,0.554144827177064
"P18421",-0.047888552529568,0.0617552197782214,0.0213356850190183,-0.100009962951359,0.142775731126501,0.491197276125284,0.978399290082421,0.5273617244775
"P18422",0.0343736896990618,-0.0475821111235124,-0.00504762058077235,0.0518333600280727,0.155502740477215,0.543824824173679,0.97907999674198,0.591799176651886
"P18886",-0.565447267594612,0.526596349357957,-0.362265292042285,0.430162098893208,0.155873506541474,0.00108381830475604,0.968338925911827,0.00128146643217242
"P19234",-0.0193418627519742,0.112752416556931,0.0852285460369167,-0.144656696180952,0.184880033857692,0.470670482766689,0.975230280804772,0.38930155513072
"P19511",-0.214558325458747,0.114613557344567,-0.201909590368514,0.548189952878969,0.361136895632295,0.413964680032109,0.997515780258928,0.090338217728163
"P19804",0.108304304808403,0.0014857684657128,0.0227031558850937,-0.184547155908182,0.154713132771993,0.473814596446319,0.975230280804772,0.113001895410554
"P19945",-0.13073166520646,-0.133180016962118,-0.0605583932519887,-0.04160886834178,0.290944839679335,0.641257100634873,0.97907999674198,0.520425779388342
"P20059",-0.00551844479438578,-0.298462071557956,0.529294323744344,-0.20769889980732,0.370237558186824,0.442373734730627,0.918839802578879,0.436752322363961
"P20070",-0.0358610879991024,-0.141646790285745,0.0945566151384191,0.0151781952588392,0.149560864508982,0.50295611709241,0.968338925911827,0.532477567730169
