"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q71LX6",3,1.38185932450224,-0.421500227695758,-0.955394009425395,-0.00496508738108957,FALSE,0.441606990521885,0.237832194927638,0.320560814550477,0.441606990521885
"P97576",3,-0.41524343848193,1.45575237198778,-0.809242786496914,-0.231266147008938,FALSE,0.442211565951872,0.337011394297082,0.220777039751046,0.442211565951872
"P08050",1,-0.978378067259696,1.31207002382211,-0.531245106405444,0.197553149843033,FALSE,0.442241535766075,0.442241535766075,0.198885539787382,0.358872924446543
"P43278",1,-0.963887213220377,-0.728990950287461,0.615597798240325,1.07728036526751,FALSE,0.4426275788154,0.4426275788154,0.261555260095657,0.295817161088943
"P63088",3,0.934382364507242,0.756314980122834,-0.594661125585992,-1.09603621904408,FALSE,0.442629776537134,0.20814916445767,0.349221059005196,0.442629776537134
"Q5XIE6",3,-0.0131078844840037,0.86943634098686,-1.39699326880179,0.540664812298929,FALSE,0.443183078429406,0.37816034305159,0.178656578519004,0.443183078429406
"P0C219",1,-1.13701153338653,1.27059721987052,-0.271566999309857,0.137981312825867,FALSE,0.443300330643748,0.443300330643748,0.208249363777246,0.348450305579006
"P16086",3,0.619749276032991,1.02406388373118,-0.493164169485221,-1.15064899027895,FALSE,0.443854746762172,0.219745623756715,0.336399629481113,0.443854746762172
"P02091",2,0.338914789154833,-1.45270270342468,0.834859658407572,0.278928255862271,FALSE,0.443885503245644,0.253758571335221,0.443885503245644,0.302355925419135
"P22062",3,1.14657519362804,-0.53258482332431,-1.08584903662484,0.471858666321115,FALSE,0.444706529946923,0.2730427503008,0.282250719752277,0.444706529946923
"P00564",1,0.0697923341499883,-0.5303866931005,-0.911575274901173,1.37216963385168,FALSE,0.44480135290994,0.44480135290994,0.203979385929096,0.351219261160965
"P09605",1,-0.323820337210932,-0.93316928265902,-0.157101787206282,1.41409140707623,FALSE,0.44490230527913,0.44490230527913,0.238479709042903,0.316617985677968
"Q9WU82",3,0.997586224122385,0.697510786382722,-0.645529334368543,-1.04956767613656,FALSE,0.446096782218178,0.207465726363234,0.346437491418588,0.446096782218178
"P51868",2,-0.723653157350259,-0.0748389075157923,1.43653347016468,-0.638041405298633,FALSE,0.447002674742279,0.257104871732413,0.447002674742279,0.295892453525308
"P09650",2,0.155209512015489,-1.39151144105516,0.989220154105079,0.247081774934592,FALSE,0.447169296132016,0.256157178225955,0.447169296132016,0.296673525642029
"Q9JK11",3,1.2227388271462,-0.511854447958883,-1.05908857962475,0.348204200437434,FALSE,0.44777441864316,0.261172282862827,0.291053298494013,0.44777441864316
"P47967",2,-0.262263297400804,-1.08312695573393,1.32577111524864,0.0196191378860915,FALSE,0.449699218267931,0.261340494176142,0.449699218267931,0.288960287555927
"O35763",2,0.931859432282319,0.526071491956477,-0.0996382444133528,-1.35829267982544,FALSE,0.449788873776517,0.183139958036976,0.449788873776517,0.367071168186506
"P62961",2,-0.0420608702286597,0.769181843032893,0.671388237206508,-1.39850921001074,FALSE,0.449959334245204,0.217165175584799,0.449959334245204,0.332875490169998
"Q6P502",3,-0.199521122275059,1.19863077330491,-1.21522428261858,0.216114631588723,FALSE,0.450653671169027,0.361303399200602,0.188042929630371,0.450653671169027
"Q64119",2,-0.554223089772288,-0.665148226006098,1.47772407908167,-0.25835276330328,FALSE,0.45185405083161,0.260695691611271,0.45185405083161,0.287450257557119
"B2GV06",1,-1.18192824376596,-0.462874308116883,0.688041155121545,0.956761396761301,FALSE,0.453400076783934,0.453400076783934,0.25513597729623,0.291463945919836
"P24329",3,1.3958620723858,0.00698201191704674,-0.885180802422439,-0.517663281880403,FALSE,0.454711015105402,0.207533179484684,0.337755805409914,0.454711015105402
"P49432",1,-0.94148888357518,1.286659476516,-0.618979015333235,0.273808422392411,FALSE,0.455976352481127,0.455976352481127,0.188699124370366,0.355324523148507
"P18420",2,-0.49823678514149,0.469226792514345,1.1394862257753,-1.11047623314816,FALSE,0.456068235107105,0.234143369517623,0.456068235107105,0.309788395375272
"Q9EPX0",3,0.733756168975377,0.968231710595509,-0.656381674004518,-1.04560620556637,FALSE,0.456610504282699,0.221699950304317,0.321689545412983,0.456610504282699
"P00388",3,0.514969083728862,0.229720745753188,-1.4688743832705,0.724184553788447,FALSE,0.457643802995214,0.336170440323235,0.20618575668155,0.457643802995214
"P02563",1,-0.0268127992003775,-0.583794186585127,-0.806461989563737,1.41706897534924,FALSE,0.457730626979325,0.457730626979325,0.204129267723028,0.338140105297648
